VOC,Temperature,Humidity,Remaining_Days
0.0125,27.0,68.0,10.0
0.0125,26.7,76.0,10.0
0.0125,26.8,76.0,10.0
0.0125,26.9,75.0,10.0
0.0125,27.2,75.0,10.0
0.0125,27.0,75.0,10.0
0.0125,28.1,64.0,10.0
0.0125,28.1,63.0,10.0
0.0125,26.7,73.0,10.0
0.0125,26.9,70.0,10.0
0.0125,27.0,69.0,10.0
0.0125,26.9,69.0,10.0
0.0134,27.4,66.0,10.0
