VOC,Temperature,Humidity,VQI,label,status
0.0134,26.5,80,92.63952674092893,2,Fresh
0.0134,26.5,81,91.9252410266432,2,Fresh
0.0125,26.5,81,92.14326428245715,2,Fresh
0.0125,26.5,81,92.14326428245715,2,Fresh
0.0134,26.5,81,91.9252410266432,2,Fresh
0.0134,26.5,80,92.63952674092893,2,Fresh
0.0134,26.5,80,92.63952674092893,2,Fresh
0.0125,26.5,80,92.85754999674288,2,Fresh
0.0134,26.5,80,92.63952674092893,2,Fresh
0.0134,26.5,80,92.63952674092893,2,Fresh
0.0144,26.5,80,92.39727867891342,2,Fresh
0.0144,26.5,80,92.39727867891342,2,Fresh
0.0154,26.5,80,92.15503061689792,2,Fresh
0.0144,26.5,80,92.39727867891342,2,Fresh
0.0154,26.5,80,92.15503061689792,2,Fresh
0.0154,26.5,80,92.15503061689792,2,Fresh
0.0154,26.6,79,93.45755162530129,2,Fresh
0.0154,26.6,79,93.45755162530129,2,Fresh
0.0154,26.6,79,93.45755162530129,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0125,26.5,79,93.5718357110286,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0107,26.8,79,95.77258810500946,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0116,26.6,79,94.37809426096021,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0099,26.6,79,94.78991596638657,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0107,26.7,79,95.1843528108918,2,Fresh
0.0107,26.6,79,94.59611751677417,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0125,26.5,79,93.5718357110286,2,Fresh
0.0116,26.6,79,94.37809426096021,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0144,26.5,79,93.11156439319915,2,Fresh
0.0144,26.5,79,93.11156439319915,2,Fresh
0.0134,26.5,79,93.35381245521465,2,Fresh
0.0144,26.5,79,93.11156439319915,2,Fresh
0.0144,26.5,80,92.39727867891342,2,Fresh
0.0144,26.5,80,92.39727867891342,2,Fresh
0.0125,26.6,80,93.44578529086053,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0116,26.6,79,94.37809426096021,2,Fresh
0.0144,26.6,79,93.6997996873168,2,Fresh
0.0144,26.6,79,93.6997996873168,2,Fresh
0.0144,26.6,79,93.6997996873168,2,Fresh
0.0154,26.6,79,93.45755162530129,2,Fresh
0.0144,26.6,79,93.6997996873168,2,Fresh
0.0134,26.6,79,93.9420477493323,2,Fresh
0.0125,26.6,79,94.16007100514625,2,Fresh
0.0165,26.6,79,93.19107875708423,2,Fresh
0.0165,26.6,80,92.4767930427985,2,Fresh
0.0165,26.6,80,92.4767930427985,2,Fresh
