VOC,Temperature,Humidity,VQI,Remaining_Days
0.0134,26.5,80,92.63952674092891,7.4
0.0134,26.5,81,91.9252410266432,7.2
0.0125,26.5,81,92.14326428245715,7.3
0.0125,26.5,81,92.14326428245715,7.3
0.0134,26.5,81,91.9252410266432,7.2
0.0134,26.5,80,92.63952674092891,7.4
0.0134,26.5,80,92.63952674092891,7.4
0.0125,26.5,80,92.85754999674288,7.5
0.0134,26.5,80,92.63952674092891,7.4
0.0134,26.5,80,92.63952674092891,7.4
0.0144,26.5,80,92.39727867891342,7.4
0.0144,26.5,80,92.39727867891342,7.4
0.0154,26.5,80,92.15503061689792,7.3
0.0144,26.5,80,92.39727867891342,7.4
0.0154,26.5,80,92.15503061689792,7.3
0.0154,26.5,80,92.15503061689792,7.3
0.0154,26.6,79,93.45755162530128,7.7
0.0154,26.6,79,93.45755162530128,7.7
0.0154,26.6,79,93.45755162530128,7.7
0.0134,26.6,79,93.9420477493323,7.8
0.0125,26.5,79,93.5718357110286,7.7
0.0125,26.6,79,94.16007100514624,7.9
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0107,26.8,79,95.77258810500946,8.4
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0116,26.6,79,94.3780942609602,8.0
0.0134,26.6,79,93.9420477493323,7.8
0.0125,26.6,79,94.16007100514624,7.9
0.0099,26.6,79,94.78991596638656,8.1
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0107,26.7,79,95.1843528108918,8.2
0.0107,26.6,79,94.59611751677416,8.1
0.0125,26.6,79,94.16007100514624,7.9
0.0125,26.6,79,94.16007100514624,7.9
0.0125,26.5,79,93.5718357110286,7.7
0.0116,26.6,79,94.3780942609602,8.0
0.0125,26.6,79,94.16007100514624,7.9
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0144,26.5,79,93.11156439319916,7.6
0.0144,26.5,79,93.11156439319916,7.6
0.0134,26.5,79,93.35381245521464,7.7
0.0144,26.5,79,93.11156439319916,7.6
0.0144,26.5,80,92.39727867891342,7.4
0.0144,26.5,80,92.39727867891342,7.4
0.0125,26.6,80,93.44578529086051,7.7
0.0125,26.6,79,94.16007100514624,7.9
0.0116,26.6,79,94.3780942609602,8.0
0.0144,26.6,79,93.6997996873168,7.8
0.0144,26.6,79,93.6997996873168,7.8
0.0144,26.6,79,93.6997996873168,7.8
0.0154,26.6,79,93.45755162530128,7.7
0.0144,26.6,79,93.6997996873168,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0125,26.6,79,94.16007100514624,7.9
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,80,92.4767930427985,7.4
0.0165,26.6,80,92.4767930427985,7.4
0.0165,26.6,79,93.19107875708424,7.6
0.0144,26.6,79,93.6997996873168,7.8
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0187,26.5,79,92.06989772653247,7.3
0.0165,26.6,79,93.19107875708424,7.6
0.0176,26.6,79,92.9246058888672,7.5
0.0176,26.6,79,92.9246058888672,7.5
0.0176,26.6,79,92.9246058888672,7.5
0.0176,26.5,79,92.33637059474952,7.4
0.0176,26.6,79,92.9246058888672,7.5
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.6,79,93.19107875708424,7.6
0.0165,26.5,80,91.88855774868088,7.2
0.0165,26.5,80,91.88855774868088,7.2
0.0154,26.5,80,92.15503061689792,7.3
0.0154,26.5,80,92.15503061689792,7.3
0.0154,26.6,80,92.74326591101556,7.5
0.0134,26.6,80,93.22776203504658,7.6
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.6,79,93.9420477493323,7.8
0.0134,26.7,79,94.53028304344994,8.0
0.0125,26.7,79,94.74830629926387,8.1
0.0134,26.7,79,94.53028304344994,8.0
0.0134,26.7,79,94.53028304344994,8.0
0.0134,26.7,79,94.53028304344994,8.0
0.0134,26.7,79,94.53028304344994,8.0
0.0134,26.7,79,94.53028304344994,8.0
0.0125,26.7,79,94.74830629926387,8.1
0.0125,26.7,79,94.74830629926387,8.1
0.0134,26.8,79,95.1185183375676,8.2
0.0134,26.8,79,95.1185183375676,8.2
0.0134,26.8,79,95.1185183375676,8.2
0.0125,26.8,79,95.33654159338154,8.3
0.0125,26.8,78,96.05082730766723,8.5
0.0125,26.8,78,96.05082730766723,8.5
0.0125,26.8,78,96.05082730766723,8.5
0.0125,26.8,78,96.05082730766723,8.5
0.0165,26.8,78,95.08183505960524,8.2
0.0176,26.8,78,94.8153621913882,8.1
0.0165,26.8,78,95.08183505960524,8.2
0.0165,26.5,78,93.3171291772523,7.7
0.0165,26.8,78,95.08183505960524,8.2
0.0212,26.8,78,93.9432691681324,7.8
0.0212,26.8,76,95.3718405967038,8.3
