VOC,Temperature,Humidity,VQI,label,status
0.02,27.5,72.0,96.07604912998976,2,Fresh
0.0187,27.5,73.0,95.46448311156601,2,Fresh
0.02,27.5,73.0,95.24271579665641,2,Fresh
0.02,27.5,74.0,94.40938246332308,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0226,27.5,75.0,93.1325145001706,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0165,27.5,73.0,95.83978164448993,2,Fresh
0.0212,27.5,72.0,95.87134083930398,2,Fresh
0.0212,27.7,74.0,93.00467417263732,2,Fresh
0.0212,27.5,74.0,94.20467417263733,2,Fresh
0.0212,27.5,74.0,94.20467417263733,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0212,27.5,72.0,95.87134083930398,2,Fresh
0.0212,27.5,72.0,95.87134083930398,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0187,27.5,72.0,96.29781644489934,2,Fresh
0.0212,27.5,72.0,95.87134083930398,2,Fresh
0.0212,27.5,72.0,95.87134083930398,2,Fresh
0.0176,27.5,71.0,97.31879904469463,2,Fresh
0.0212,27.4,71.0,97.30467417263733,2,Fresh
0.0187,27.4,70.0,96.89781644489935,2,Fresh
0.02,27.4,71.0,97.5093824633231,2,Fresh
0.0176,27.4,70.0,97.08546571136131,2,Fresh
0.0187,27.4,71.0,97.73114977823269,2,Fresh
0.02,27.4,71.0,97.5093824633231,2,Fresh
0.0154,27.4,72.0,97.46076424428523,2,Fresh
0.0187,27.4,73.0,96.06448311156602,2,Fresh
0.0187,27.4,73.0,96.06448311156602,2,Fresh
0.02,27.4,73.0,95.84271579665644,2,Fresh
0.0212,27.4,73.0,95.63800750597066,2,Fresh
0.0212,27.4,75.0,93.971340839304,2,Fresh
0.0212,27.4,73.0,95.63800750597066,2,Fresh
0.0212,27.4,72.0,96.47134083930399,2,Fresh
0.0212,27.4,72.0,96.47134083930399,2,Fresh
0.02,27.4,74.0,95.0093824633231,2,Fresh
0.0212,27.4,75.0,93.971340839304,2,Fresh
0.0212,27.4,76.0,93.13800750597066,2,Fresh
0.0212,27.5,76.0,92.53800750597065,2,Fresh
0.0212,27.4,74.0,94.80467417263733,2,Fresh
0.0212,27.4,75.0,93.971340839304,2,Fresh
0.0212,27.4,75.0,93.971340839304,2,Fresh
0.0226,27.4,76.0,92.89918116683725,2,Fresh
0.0226,27.5,77.0,91.46584783350391,2,Fresh
0.0212,27.5,74.0,94.20467417263733,2,Fresh
0.0212,27.5,74.0,94.20467417263733,2,Fresh
0.0226,27.5,73.0,94.79918116683726,2,Fresh
0.0212,27.5,73.0,95.03800750597065,2,Fresh
0.0212,27.4,71.0,97.30467417263733,2,Fresh
0.0212,27.4,71.0,97.30467417263733,2,Fresh
0.0212,27.6,77.0,91.10467417263732,2,Fresh
0.0226,27.4,78.0,91.23251450017058,2,Fresh
0.0212,27.5,77.0,91.70467417263733,2,Fresh
0.0226,27.5,79.0,89.79918116683724,2,Fresh
0.0226,27.5,77.0,91.46584783350391,2,Fresh
0.0226,27.5,78.0,90.63251450017059,2,Fresh
0.0226,27.5,79.0,89.79918116683724,2,Fresh
0.0226,27.5,79.0,89.79918116683724,2,Fresh
0.02,27.5,79.0,90.24271579665641,2,Fresh
0.0212,27.5,79.0,90.03800750597067,2,Fresh
0.0226,27.5,79.0,89.79918116683724,2,Fresh
0.0212,27.5,79.0,90.03800750597067,2,Fresh
0.0212,27.5,79.0,90.03800750597067,2,Fresh
0.2985,27.3,72.0,48.56666666666668,0,Not Fresh
0.1734,27.5,74.0,68.2408393039918,1,Moderate
0.1145,27.5,73.0,79.12193790515182,1,Moderate
0.0714,27.6,72.0,86.70771067894914,2,Fresh
0.0745,27.7,72.0,85.57888092801092,2,Fresh
0.0574,27.7,72.0,88.49597407028318,2,Fresh
0.05,27.7,71.0,90.59167519617877,2,Fresh
0.0392,27.9,71.0,91.23404981235072,2,Fresh
0.0412,27.9,71.0,90.89286932787444,2,Fresh
0.0335,28.0,72.0,90.77308085977482,2,Fresh
0.0335,27.9,70.0,91.37308085977483,2,Fresh
0.0372,27.9,70.0,90.74189696349369,2,Fresh
0.0318,27.9,70.0,91.66308427157968,2,Fresh
0.0372,28.0,71.0,90.97523029682702,2,Fresh
0.0335,28.0,71.0,91.60641419310815,2,Fresh
0.0412,28.0,71.0,90.29286932787444,2,Fresh
0.0335,28.0,70.0,90.77308085977482,2,Fresh
0.0372,28.0,70.0,90.14189696349368,2,Fresh
0.0301,28.0,71.0,92.18642101671783,2,Fresh
0.0318,27.9,70.0,91.66308427157968,2,Fresh
0.0269,27.9,70.0,92.49897645854658,2,Fresh
0.0392,27.9,70.0,90.40071647901739,2,Fresh
0.0285,28.0,71.0,92.45936540429886,2,Fresh
0.0392,28.0,71.0,90.63404981235072,2,Fresh
0.0318,28.3,70.0,89.26308427157966,2,Fresh
0.0212,28.4,69.0,89.63800750597066,2,Fresh
0.0226,28.5,68.0,87.96584783350391,2,Fresh
0.02,28.4,68.0,89.0093824633231,2,Fresh
0.0176,28.4,68.0,89.41879904469465,2,Fresh
0.0165,28.4,68.0,89.60644831115661,2,Fresh
0.0165,28.5,68.0,89.00644831115659,2,Fresh
0.0176,27.8,68.0,93.01879904469463,2,Fresh
0.0165,28.4,69.0,90.43978164448994,2,Fresh
