VOC,Temperature,Humidity,actual_vqi,actual_status,pred_class,pred_status,freshness_score,final_price
0.077,26.33,63.6,75.19907198908221,Moderate,1,Moderate,6.500019434692898,79.05974103141756
0.075,25.67,65.19,72.90525247355852,Moderate,1,Moderate,6.500009461253802,78.37158520332135
0.0212,27.5,79.0,90.03800750597067,Fresh,2,Fresh,9.999997836821114,87.01140008861232
0.0165,28.1,64.0,88.07311497782324,Fresh,2,Fresh,9.999993981484076,86.42192847483105
0.1145,27.5,73.0,79.12193790515182,Moderate,1,Moderate,6.530641139858519,80.26722251140407
0.071,24.68,67.56,69.6226134425111,Moderate,1,Moderate,6.500009461253802,77.38679349400712
0.0125,27.8,73.0,94.7221426134425,Fresh,2,Fresh,9.999997836821114,88.41664062085385
0.0116,26.3,75.0,89.00900716479019,Fresh,2,Fresh,9.999997312888091,86.70269946232516
0.073,25.23,66.24,71.4814329580348,Moderate,1,Moderate,6.500009461253802,77.94443934866425
0.0107,26.2,76.0,87.72920504947118,Fresh,2,Fresh,9.999997312888091,86.31875882772945
0.1734,27.5,74.0,68.2408393039918,Moderate,1,Moderate,6.504339815126264,76.9765916063238
0.0176,27.2,76.0,92.55213237802799,Fresh,2,Fresh,9.999997836821114,87.76563755022951
0.072,25.0,66.79,70.73035653360628,Moderate,1,Moderate,6.500009461253802,77.71911642133568
0.0714,27.6,72.0,86.70771067894914,Fresh,2,Fresh,9.999940125745638,86.0122533294304
0.0054,27.4,76.0,95.83333333333334,Fresh,2,Fresh,9.999997836821114,88.74999783682111
0.0125,26.6,76.0,89.82214261344254,Fresh,2,Fresh,9.999997312888091,86.94664009692086
0.2163,27.3,77.0,58.42251791197545,Not Fresh,1,Moderate,6.504342423501516,74.03109779709416
0.0125,27.2,75.0,94.25547594677586,Fresh,2,Fresh,9.999997836821114,88.27664062085387
0.0354,26.8,71.0,91.28229273285568,Fresh,2,Fresh,9.999997836821114,87.38468565667783
0.0154,28.1,63.0,87.42743091095188,Fresh,2,Fresh,9.999993981484076,86.22822325476965
0.074,25.46,65.69,72.23250938246333,Moderate,1,Moderate,6.500009461253802,78.1697622759928
0.0144,28.0,64.0,89.03135448652336,Fresh,2,Fresh,9.999993981484076,86.70940032744107
0.071,24.71,67.5,69.75261344251112,Moderate,1,Moderate,6.500009461253802,77.42579349400714
0.08,26.91,62.22,77.01730126236781,Moderate,1,Moderate,6.500024293663456,79.60521467237379
0.0116,27.0,76.0,92.37567383145685,Fresh,2,Fresh,9.999997836821114,87.71269998625817
0.02,27.4,73.0,95.84271579665644,Fresh,2,Fresh,9.999997836821114,88.75281257581804
0.0187,27.4,73.0,96.06448311156602,Fresh,2,Fresh,9.999997836821114,88.81934277029092
0.072,25.05,66.68,70.93868986693963,Moderate,1,Moderate,6.500009461253802,77.78161642133568
0.088,26.23,62.26,71.60591265779598,Moderate,1,Moderate,6.500030475118564,77.98180427245735
0.0125,27.3,66.0,94.02214261344251,Fresh,2,Fresh,9.999994626935417,88.20663741096817
0.0125,28.4,73.0,91.12214261344252,Fresh,2,Fresh,9.999997836821114,87.33664062085387
0.0335,28.0,71.0,91.60641419310815,Fresh,2,Fresh,9.999997836821114,87.48192209475356
0.0134,26.9,69.0,93.96861139542818,Fresh,2,Fresh,9.999997836821114,88.19058125544956
0.0125,26.7,76.0,90.42214261344252,Fresh,2,Fresh,9.999997312888091,87.12664009692085
0.0212,27.5,76.0,92.53800750597065,Fresh,2,Fresh,9.999997836821114,87.7614000886123
0.02,27.4,71.0,97.5093824633231,Fresh,2,Fresh,9.999997836821114,89.25281257581806
0.075,25.83,64.81,73.54858580689185,Moderate,1,Moderate,6.500009461253802,78.56458520332134
0.0107,26.7,75.0,91.5625383828045,Fresh,2,Fresh,9.999997312888091,87.46875882772945
0.146,29.32,55.41,51.50334527465027,Not Fresh,0,Not Fresh,3.0000345266096744,68.45103810900476
0.088,25.92,62.95,70.320912657796,Moderate,1,Moderate,6.5000148561827915,77.5962886535216
0.0187,28.3,70.0,91.49781644489934,Fresh,2,Fresh,9.999997836821114,87.44934277029091
0.0165,27.4,76.0,93.93978164448994,Fresh,2,Fresh,9.999997836821114,88.1819323301681
0.0134,28.3,71.0,93.23527806209484,Fresh,2,Fresh,9.999997836821114,87.97058125544956
0.0116,27.4,76.0,94.77567383145684,Fresh,2,Fresh,9.999997836821114,88.43269998625817
0.0134,26.8,71.0,95.03527806209486,Fresh,2,Fresh,9.999997836821114,88.51058125544957
0.0144,28.1,63.0,87.59802115319002,Fresh,2,Fresh,9.999993981484076,86.27940032744108
0.0125,26.5,76.0,89.22214261344253,Fresh,2,Fresh,9.999997312888091,86.76664009692085
0.0144,26.8,71.0,94.86468781985671,Fresh,2,Fresh,9.999997836821114,88.45940418277813
0.0301,26.8,71.0,92.18642101671786,Fresh,2,Fresh,9.999997836821114,87.65592414183646
0.0165,28.1,65.0,88.90644831115658,Fresh,2,Fresh,9.999993981484076,86.67192847483105
